model,step,episode,episode_reward,running_reward_last_10
Original DQN,209,1,2.0,2.0
Original DQN,464,2,3.0,2.5
Original DQN,613,3,0.0,1.6666666666666667
Original DQN,756,4,0.0,1.25
Original DQN,995,5,2.0,1.4
Original DQN,1188,6,1.0,1.3333333333333333
Original DQN,1351,7,1.0,1.2857142857142858
Dueling DQN,209,1,2.0,2.0
Dueling DQN,464,2,3.0,2.5
Dueling DQN,627,3,1.0,2.0
Dueling DQN,756,4,0.0,1.5
Dueling DQN,1018,5,3.0,1.8
Dueling DQN,1178,6,0.0,1.5
Dueling DQN,1379,7,2.0,1.5714285714285714
Dueling DQN,1500,8,1.0,1.5
